Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
91000,1.4138203,0.00024570033,0.5663597,0.7931034482758621,0.7931034482758621,16.137931034482758
92000,1.4138203,0.00024510032,0.58500284,0.8108108108108109,0.8108108108108109,12.27027027027027
93000,1.4138203,0.00024450032,0.5613179,0.7142857142857143,0.7142857142857143,16.660714285714285
94000,1.4138203,0.00024390034,0.5644735,0.835820895522388,0.835820895522388,13.850746268656716
95000,1.4138203,0.00024330035,0.58282083,0.7878787878787878,0.7878787878787878,12.530303030303031
96000,1.4138203,0.00024270033,0.5613893,0.7894736842105263,0.7894736842105263,18.05263157894737
97000,1.4138203,0.00024210034,0.59107256,0.8548387096774194,0.8548387096774194,14.919354838709678
98000,1.4138203,0.00024150035,0.5720742,0.7868852459016393,0.7868852459016393,14.639344262295081
99000,1.4123391,0.00024090034,0.6465503,0.8181818181818182,0.8181818181818182,17.69090909090909
100000,1.4118841,0.00024030036,0.665708,0.7846153846153846,0.7846153846153846,14.123076923076923
101000,1.4118841,0.00023970034,0.6705551,0.7857142857142857,0.7857142857142857,13.028571428571428
102000,1.4118841,0.00023910034,0.6645154,0.8611111111111112,0.8611111111111112,13.055555555555555
103000,1.4118841,0.00023850036,0.6838429,0.8405797101449275,0.8405797101449275,13.217391304347826
104000,1.4118841,0.00023790034,0.704028,0.8870967741935484,0.8870967741935484,15.080645161290322
105000,1.4118841,0.00023730035,0.6820217,0.8235294117647058,0.8235294117647058,13.529411764705882
106000,1.4118841,0.00023670036,0.6720119,0.8387096774193549,0.8387096774193549,15.193548387096774
107000,1.4118841,0.00023610034,0.6695095,0.875,0.875,12.722222222222221
108000,1.4118841,0.00023550034,0.6365433,0.7808219178082192,0.7808219178082192,12.67123287671233
109000,1.4118841,0.00023490033,0.69615185,0.90625,0.90625,14.296875
110000,1.4105399,0.00023430034,0.70678514,0.7808219178082192,0.7808219178082192,12.657534246575343
111000,1.4098985,0.00023370035,0.7390153,0.8714285714285714,0.8714285714285714,13.2
112000,1.4098985,0.00023310035,0.7445467,0.8026315789473685,0.8026315789473685,12.105263157894736
113000,1.4098985,0.00023250034,0.71979743,0.8701298701298701,0.8701298701298701,11.779220779220779
114000,1.4098985,0.00023190035,0.7360821,0.88,0.88,12.373333333333333
115000,1.4098985,0.00023130035,0.7372298,0.7910447761194029,0.7910447761194029,13.835820895522389
116000,1.4098985,0.00023070035,0.7423488,0.8181818181818182,0.8181818181818182,13.742424242424242
117000,1.4098985,0.00023010037,0.75679666,0.8840579710144928,0.8840579710144928,13.73913043478261
118000,1.4098985,0.00022950035,0.735916,0.9,0.9,11.275
119000,1.4098985,0.00022890035,0.7483044,0.8611111111111112,0.8611111111111112,12.902777777777779
120000,1.4098985,0.00022830036,0.7191516,0.8571428571428571,0.8571428571428571,12.942857142857143
121000,1.4084793,0.00022770035,0.7851454,0.9436619718309859,0.9436619718309859,13.098591549295774
122000,1.4073088,0.00022710035,0.7907832,0.8450704225352113,0.8450704225352113,13.098591549295774
123000,1.4073088,0.00022650033,0.77562827,0.8767123287671232,0.8767123287671232,12.315068493150685
124000,1.4073088,0.00022590035,0.79750127,0.8783783783783784,0.8783783783783784,12.68918918918919
125000,1.4073088,0.00022530035,0.7914998,0.8961038961038961,0.8961038961038961,11.857142857142858
126000,1.4073088,0.00022470034,0.776852,0.8666666666666667,0.8666666666666667,9.966666666666667
127000,1.4073088,0.00022410035,0.79626274,0.9315068493150684,0.9315068493150684,12.63013698630137
128000,1.4073088,0.00022350033,0.8072759,0.925,0.925,11.3
129000,1.4073088,0.00022290034,0.78731364,0.8648648648648649,0.8648648648648649,12.513513513513514
130000,1.4073088,0.00022230035,0.7705977,0.922077922077922,0.922077922077922,11.805194805194805
131000,1.4073088,0.00022170035,0.77920634,0.8904109589041096,0.8904109589041096,12.643835616438356
132000,1.4066058,0.00022110034,0.83566946,0.9506172839506173,0.9506172839506173,11.17283950617284
133000,1.4053229,0.00022050035,0.8486497,0.9382716049382716,0.9382716049382716,11.074074074074074
134000,1.4053229,0.00021990035,0.83141476,0.9054054054054054,0.9054054054054054,12.35135135135135
135000,1.4053229,0.00021930036,0.8159815,0.8918918918918919,0.8918918918918919,12.432432432432432
136000,1.4053229,0.00021870036,0.84410274,0.9615384615384616,0.9615384615384616,11.85897435897436
137000,1.4053229,0.00021810035,0.8452536,0.9315068493150684,0.9315068493150684,12.58904109589041
138000,1.4053229,0.00021750036,0.8396472,0.925,0.925,11.2875
139000,1.4053229,0.00021690034,0.84827703,0.935064935064935,0.935064935064935,11.935064935064934
140000,1.4053229,0.00021630035,0.842778,0.95,0.95,11.3875
141000,1.4053229,0.00021570036,0.8319299,0.9102564102564102,0.9102564102564102,11.666666666666666
142000,1.4053229,0.00021510034,0.84068227,0.9166666666666666,0.9166666666666666,10.821428571428571
143000,1.4050828,0.00021450035,0.8538474,0.971830985915493,0.971830985915493,13.056338028169014
144000,1.4035951,0.00021390036,0.8549366,0.9204545454545454,0.9204545454545454,10.215909090909092
145000,1.4035951,0.00021330034,0.8699493,0.9540229885057471,0.9540229885057471,10.379310344827585
146000,1.4035951,0.00021270035,0.8689532,0.9473684210526315,0.9473684210526315,11.907894736842104
147000,1.4035951,0.00021210036,0.85830426,0.9487179487179487,0.9487179487179487,11.935897435897436
148000,1.4035951,0.00021150034,0.85549724,0.9473684210526315,0.9473684210526315,12.131578947368421
149000,1.4035951,0.00021090035,0.8433034,0.9146341463414634,0.9146341463414634,11.048780487804878
150000,1.4035951,0.00021030035,0.85457003,0.9166666666666666,0.9166666666666666,10.738095238095237
151000,1.4035951,0.00020970035,0.8733404,0.9390243902439024,0.9390243902439024,10.987804878048781
152000,1.4035951,0.00020910037,0.8624848,0.9333333333333333,0.9333333333333333,10.0
153000,1.4035951,0.00020850035,0.8643911,0.961038961038961,0.961038961038961,11.779220779220779
154000,1.4035951,0.00020790035,0.8556376,0.9397590361445783,0.9397590361445783,10.963855421686747
155000,1.4028413,0.00020730037,0.8762815,0.9204545454545454,0.9204545454545454,10.284090909090908
156000,1.4026966,0.00020670035,0.8829902,0.975,0.975,11.3875
157000,1.4026966,0.00020610035,0.87741584,0.95,0.95,11.275
158000,1.4026966,0.00020550037,0.9010828,0.9540229885057471,0.9540229885057471,10.448275862068966
159000,1.4026966,0.00020490035,0.8887012,0.9733333333333334,0.9733333333333334,12.066666666666666
160000,1.4026966,0.00020430036,0.89443666,0.9647058823529412,0.9647058823529412,10.75294117647059
161000,1.4026966,0.00020370036,0.8899868,0.9746835443037974,0.9746835443037974,11.49367088607595
162000,1.4026966,0.00020310035,0.8721052,0.9620253164556962,0.9620253164556962,11.50632911392405
163000,1.4026966,0.00020250035,0.88576335,0.9523809523809523,0.9523809523809523,10.904761904761905
164000,1.4026966,0.00020190036,0.87602806,0.9518072289156626,0.9518072289156626,10.91566265060241
165000,1.4026966,0.00020130035,0.87400633,0.9186046511627907,0.9186046511627907,10.430232558139535
166000,1.4019996,0.00020070038,0.8861446,0.978494623655914,0.978494623655914,9.688172043010752
167000,1.4014475,0.00020010036,0.9062627,1.0,1.0,10.686046511627907
168000,1.4014475,0.00019950035,0.8836987,0.9761904761904762,0.9761904761904762,10.773809523809524
169000,1.4014475,0.00019890035,0.90580314,0.9777777777777777,0.9777777777777777,9.911111111111111
170000,1.4014475,0.00019830035,0.9035263,0.989247311827957,0.989247311827957,9.440860215053764
171000,1.4014475,0.00019770036,0.90943474,0.9878048780487805,0.9878048780487805,11.341463414634147
172000,1.4014475,0.00019710034,0.8950568,0.968421052631579,0.968421052631579,9.294736842105262
173000,1.4014475,0.00019650036,0.8957292,0.9882352941176471,0.9882352941176471,10.75294117647059
174000,1.4014475,0.00019590036,0.88679004,0.9634146341463414,0.9634146341463414,10.841463414634147
175000,1.4014475,0.00019530035,0.8665946,0.9069767441860465,0.9069767441860465,10.80232558139535
176000,1.4014475,0.00019470036,0.88261575,0.9325842696629213,0.9325842696629213,10.134831460674157
177000,1.401374,0.00019410034,0.8869434,0.9302325581395349,0.9302325581395349,10.546511627906977
178000,1.4011097,0.00019350035,0.9048849,0.9775280898876404,0.9775280898876404,10.134831460674157
179000,1.4011097,0.00019290035,0.91643906,0.9787234042553191,0.9787234042553191,9.574468085106384
180000,1.4011097,0.00019230036,0.90442413,0.9634146341463414,0.9634146341463414,10.926829268292684
181000,1.4011097,0.00019170037,0.90988266,1.0,1.0,9.709677419354838
182000,1.4011097,0.00019110036,0.9073844,1.0,1.0,9.463157894736842
183000,1.4011097,0.00019050036,0.9049344,0.978021978021978,0.978021978021978,9.857142857142858
184000,1.4011097,0.00018990037,0.8911356,0.9782608695652174,0.9782608695652174,9.66304347826087
185000,1.4011097,0.00018930036,0.91155887,0.9886363636363636,0.9886363636363636,10.363636363636363
